Diseases,Symptoms
What are the naloxone requirements when treating overdose with novel potent opioids?,
Aseptic meningitis? Encephalitis? Don't rule out arboviruses,
Zebra of the Week: Alkaptonuria,
Does increased screen time for infants affect cognitive outcomes into childhood?,
,
New/Expanded indications - Ezallor Sprinkle (rosuvastatin),
Poor drinking water quality may up likelihood of lung infection in cystic fibrosis,
CMS announces first 10 drugs up for Medicare price negotiations,
CDC Health Advisory: Important updates on locally acquired malaria cases identified in the U.S.,
Can chatbots make accurate cancer treatment recommendations?,
Parkinson disease gene variant found in people of African ancestry,
Wildfire smoke caused summer spike in emergency department visits,
Gender-affirming surgery in the U.S. rose between 2016-2020,
Which patients aren't good candidates for semaglutide therapy?,
FDA OKs first biosimilar for treatment of MS,
Does adenotonsillectomy improve dysphagia outcomes in children with sleep apnea?,
CDC issues guidance on use of nirsevimab for RSV prevention in infants and children,
Semaglutide may help curb obesity and CVD prevalence in the U.S.,
CDC launches program to improve sepsis survival rates,
"Inmar recalls food, drugs, medical devices stored at Texas facility",
First-time generic drug - darunavir,
Eye scans detect Parkinson’s disease years before onset,
Remdesivir now approved for use in patients with hepatic impairment,
Which antihistamines can interfere with narcolepsy treatment?,
Hidden ingredients found in 6 'energy boosters',
Study finds unexpected results about residents and PTSD during COVID,
Roughly 1 in 5 report mistreatment in perinatal care,
Early-onset cancer incidence increased in the U.S. between 2010-2019,
"Frozen corn, mixed vegetables recalled due to possible Listeria monocytogenes contamination",
"Your COVID-19 update for August 25, 2023",
Dexamethasone for migraine treatment in the ED: Is a higher dose more beneficial?,
Picture Quiz: A pigeon keeper with a persistent skin ulcer,
Dementia diagnosis: An important time to deprescribe medications,
USPSTF: At-risk patients should take PrEP to prevent HIV infection,
New indication - Daxxify (daxibotulinumtoxinA-lanm),
"What your patients are reading: Week of August 21, 2023",
Healthy lifestyle changes during pregnancy linked to improved outcomes for mothers and children,
FDA: Don't use certain MSM-containing eye drops,
Three dead after Listeria found in milkshakes sold at Tacoma restaurant,
epocrates decision tools - Acute Diverticulitis Dx/Tx,
New brand drug - Xdemvy (lotilaner ophthalmic),
Interhospital transfer of acute stroke patients: How are we doing on timeliness?,
CDC releases influenza vaccination guidance for 2023-24 season,
"What's this pill? | August 24, 2023",
,
,
Valbenazine (Ingrezza) indications expanded to include Huntington disease chorea,
Severe COVID-19 may lead to long-lasting changes in patients' immune systems,
Certain Nuez de la India products appear to contain highly toxic yellow oleander,
Physical assault during childhood linked to increased risk of mental illness,
Pain in the year following MI: What's the impact on mortality?,
,
RSV vaccine OK'd for use in pregnancy,
Certain COPD inhaled meds linked to fracture risk,
Zebra of the Week: Hypermobile Ehlers-Danlos syndrome,
Does social media counseling delivered by PCPs benefit young individuals?,
FDA OKs first treatment for CD55-deficient protein-losing enteropathy (CHAPLE disease),
Can certain breast cancer patients safely omit radiotherapy?,
How epidemiological and clinical characteristics of mpox differ in patients over age 50,
Does liraglutide improve brain function in adults with obesity?,
Tiny turtles behind multistate Salmonella outbreak,
IV esketamine for augmenting the effects of oral antidepressants: A randomized pilot study,
"Marijuana and hallucinogen use, binge drinking hit historic highs for middle-aged adults",
Brand discontinued in U.S - Adhansia XR (methylphenidate),
Test your knowledge about berberine—dubbed 'nature's Ozempic' on social media,
New research identifies clotting risk factors for patients with cancer and COVID-19,
Anti-inflammatory drug boosts efficacy of morning-after pill,
Is shift work associated with increased rates of depression and anxiety?,
NIH establishes centers of excellence to expand maternal health research capabilities,
"Class I Recall: Cardiosave Hybrid and Rescue Intra-aortic Balloon Pumps, due to circuit board failures",
"CDC tracking new COVID lineage, BA.2.86",
Why is #BarbieBotox trending on TikTok?,
Rx-to-OTC switch - Narcan Nasal Spray (naloxone nasal),
Does ginkgo diterpene lactone meglumine improve outcomes after ischemic stroke?,
FDA safety update: Don't use certain UV wands due to unsafe radiation levels,
Study examines effects of low-dose glucocorticoids in RA patients,
Protecting infants from critical RSV illness: Lessons learned from the 2022 season,
"Expanded indication - Ervebo (ebola Zaire vaccine, live)",
"Hospitalizations up for 4th straight week: Your COVID-19 update for August 18, 2023",
"New brand drug - Cyfendus (anthrax vaccine, adjuvanted)",
Anti-CD20 monotherapy for MS may heighten risk for severe neuroinvasive West Nile virus,
Picture Quiz: A pregnant woman with a reticular rash,
FDA OKs liver-directed treatment for metastatic uveal melanoma,
Blood-based test detects more than 20 cancer types,
First treatment for fibrodysplasia ossificans progressiva wins FDA approval,
"What your patients are reading | Week of August 14, 2023",
"Exposure to pigs linked to flu viruses in humans, CDC report shows",
FDA grants accelerated approval to Elrexfio for relapsed or refractory multiple myeloma,
Do PPIs increase infection risk in children?,
New epocrates decision tool - Insulin Product Switching,
"FDA Class I recall: Philips Respironics recalls Trilogy Evo, Evo O2, EV300, and Evo Universal Ventilators",
Do SGLT2-Is reduce risk of afib recurrence after ablation in patients with T2DM?,
Will the latest FDA proposal on salt intake do more harm than good?,
"What's this pill? | August 17, 2023",
,
,
,
Brand discontinued in U.S - Twynsta (telmisartan/amlodipine),
FDA warns against using tests manufactured by Universal Meditech,
Does air pollution increase dementia risk?,
KFF Poll: 3 out of 10 people say they or someone in their family has been addicted to opioids,
Can a headset that measures 'headpulse' better gauge concussion recovery?,
FDA expands Daxxify label to include cervical dystonia treatment,
,
,
Brand discontinued in U.S - Clarinex-D 24 Hour (desloratadine/pseudoephedrine),
Penicillin shortage continues in U.S. as syphilis rates soar,
Pedestrian fatalities in the U.S. higher among men,
FDA grants full approval to pralsetinib for RET fusion–positive NSCLC,
Generic vs. brand-name fluticasone-salmeterol for COPD treatment: How do they compare?,
Playing American football and Parkinson disease: What's the association?,
FDA approves niraparib and abiraterone acetate plus prednisone for prostate cancer,
When can a drug interaction cause sinus arrest?,
How does age impact suicide risk?,
Social factors a driver in higher CVD mortality among Black patients,
New formulation - pirfenidone,
Salmonella outbreak linked to ready-to-eat tofu,
Izervay wins FDA approval for geographic atrophy,
New brand drug - Suflave (polyethylene glycol/sodium sulfate/potassium chloride/magnesium sulfate/sodium chloride),
Do blood tests that screen for cancer do more harm than good?,
Can electrical brain stimulation help your depressed patients?,
"Kim Kardashian and other celebrity influencers spark controversy over $2,500 out-of-pocket body scan",
What percentage of cancer survivors engage in risky drinking behaviors?,
Can finerenone lower cardiovascular risk in diabetic kidney disease?,
,
More than half of hospitalized babesiosis patients may have neurologic symptoms,
"COCA Call: Thurs., Aug. 17 - We must maintain measles elimination in the U.S.",
"Can exercise reduce depression, burnout, and absenteeism in health care personnel?",
epocrates Featured Calculator: Enhanced STOP-Bang screen for OSA in adults,
Long-term use of PPIs linked to higher risk of dementia,
,
Picture Quiz: A man with a mamillated rash and fever,
Exercise paired with cognitive training may delay onset of dementia,
First-time generic drug - bepotastine ophthalmic,
White House launches new tracking tool for heat-related illness,
"What your patients are reading: Week of August 7, 2023",
,
Testicular cancer among military personnel linked to 'forever chemicals',
AI model can pinpoint origin of enigmatic cancers,
Video bests direct laryngoscopy for tracheal intubation of critically ill adults,
Impaired odor identification may signal later dementia in Black and White seniors,
New brand drug - Vanflyta (quizartinib),
"Lyme disease: Bella Hadid says she's ""finally healthy"" after ""15 years of invisible suffering""",
"Eris' on the rise: Your COVID-19 update for August 10, 2023",
"What's this pill? | August 10, 2023",
Noninvasive nerve stimulator offers alternative treatment for sleep apnea,
Podcast Recap | KFF Health News: EPIDEMIC - The goddess of smallpox,
Novel bacteria strain identified after cat bite,
Withdrawn FDA approval - oxandrolone,
Only 20% of Medicaid enrollees getting crucial treatment for hepatitis C,
Hearing aids slow cognitive decline in high-risk older adults,
"Women over 70 may be overdiagnosed for breast cancer and face unnecessary treatment, study finds",
WHO launches abortion-care app for health care workers,
Five things to know about the first oral medication for postpartum depression,
Zebra of the Week: Hansen's disease,
U.S. health systems feeling the heat,
Relying on one-size-fits-all BP cuffs can lead to inaccurate readings,
Aerobic vs. muscle-strengthening: Which kinds of exercise and intensity reduce mortality risk?,
"Unhappy family or trauma in youth can lead to poor health in older age, UCSF study finds",
Antibiotic-resistant Pseudomonas aeruginosa infections linked to ICU sink,
How a novel cardiac biomarker can stratify risk in chronic CAD,
USPSTF recommends daily folic acid supplement before pregnancy,
Semaglutide cuts risk of major CV events,
Solanezumab no better than placebo at slowing cognitive decline in preclinical Alzheimer disease,
Childhood TV viewing tied to higher risk of metabolic syndrome in middle age,
New dosing regimen - Wegovy (semaglutide),
Are your patients ready for the RSV vaccine?,
Obesity and the NICE two-year rule: How long should drug treatment last?,
What’s the natural history of tobacco exposure with preserved spirometry (TEPS)?,
Can SGLT-2 inhibitors reduce gout flares and hospitalizations?,
Study finds high burden of oral HPV in older men,
Americans want weight-loss drugs but not their potential costs or medical drawbacks,
Fleaborne typhus on the rise in LA County with 3 deaths reported in 2022,
New brand drug - Ngenla (somatrogon),
"COCA Call: Thurs., Aug 10 - Clinical vaccination guidance for pregnant people",
Are first-time users of hormonal contraceptives at increased risk of developing asthma?,
CDC recommends new immunization to protect infants from severe RSV disease,
FDA approves first oral treatment for postpartum depression,
Medical professionals sound the alarm on vaping-related child nicotine poisoning,
"AAP reaffirms gender-affirming care policy, calls for research review to guide update",
Two lots of oral contraceptive Tydemy recalled due to possible reduced effectiveness,
FDA/DEA Letter to Americans: Stimulant drug shortage,
"Early peanut feeding practices gaining traction, but more work is needed",
Picture Quiz: Skin changes with hand and foot weakness,
Scientists develop breath test that rapidly detects COVID-19 virus,
Can common bed bugs transmit MRSA?,
Zilebesiran shows early promise in treating hypertension,
"What your patients are reading: Week of July 31, 2023",
Health officials urge TB testing for persons working in poultry plants in North Alabama in wake of outbreak,
Are patients with RA at higher risk of aortic stenosis?,
epocrates decision tools - Lyme Disease Dx & Tx - 2023 Update,
Croup symptoms improve with cold air exposure,
CGRP monoclonal antibodies for migraine: Do they affect COVID-19 outcomes?,
FDA Class I recall: SIGMA Spectrum infusion pump and system,
"Your COVID-19 update for August 3, 2023",
"What's this pill? | August 3, 2023",
What’s new? Machine learning’s role in advancing deep brain stimulation,
Podcast Recap | AMA Update: The future of AI in medicine and what it means for physicians and practices,
Georgia resident dies from rare Naegleria fowleri brain infection,
New frontline treatment option greenlighted for endometrial cancer,
Is leprosy endemic in Florida?,
Amazon Clinic expands nationwide to provide messaging and video visits for common health conditions,
VA to study possible links between toxic exposures and certain cancers in service members,
White House launches Medicare Dementia Care program,
Large Danish cohort study finds statin effectiveness may rise with patient's age,
FDA Class I recall: TruSignal SpO2 sensors,
ACP: Start colorectal cancer screening at age 50,
Alpha-gal syndrome: Can you identify when symptoms begin?,
FDA expands indications of Ebola vaccine to include pediatric use,
Meta-analysis: HIV transmission risk near zero with low viral loads,
Bacterial testing could reduce antibiotic use in pediatric sinusitis,
Small trial finds psilocybin safe in females with anorexia nervosa,
Study highlights competing priorities of parenthood and career for women physicians,
FDA approves Balfaxar for warfarin reversal,
Voclosporin found to be safe and effective in long-term lupus nephritis trial,
Albuminuria testing widely underutilized in patients at risk for CKD,
FDA Class I recall: Impella left-sided blood pumps,
Zebra of the Week: Hidradentitis suppurativa,
Do epidural analgesia and oxytocin given during labor increase the risk of autism in children?,
Is cadmium exposure a risk factor for endometriosis?,
CDC: Few clinicians familiar with alpha-gal syndrome,
New brand drug - Litfulo (ritlecitinib),
"Your COVID-19 Update for July 31, 2023",
COVID-19: Study finds Paxlovid underused at U.S. nursing homes,
TB cases linked to viable bone matrix material,
Can short bursts of vigorous activity lower cancer risk?,
Liraglutide effective following poor response to metabolic surgery,
CDC: Travel-linked dengue cases in U.S. peaked in 2019,
"Vegetarian diet may significantly improve cholesterol, blood sugar, and body weight",
FDA OKs second OTC naloxone nasal spray,
"Low-dose aspirin may increase intracranial bleeding in healthy, older adults",
Study explains link between CV risk and obstructive sleep apnea,
New brand drug - Brenzavvy (bexagliflozin),
"Novel, rapid-acting drug effective for postpartum depression in phase 3 trial",
New brand drug - Elevidys (delandistrogene moxeparvovec),
Picture Quiz: Party lips,
Kratom: What are the potential risks?,
Rivaroxaban and warfarin similarly safe and effective in patients with CKD,
Multiplex PCR assay outperforms standard culture for diagnosing respiratory infection,
"What your patients are reading: Week of July 24, 2023",
Atomoxetine plus oxybutynin improves multiple variables in OSA,
FDA approves pulmonary stent to treat pediatric pulmonary artery stenosis,
epocrates Featured Calculator: MELDNa score,
How well does HPV vaccination protect against anal HPV and neoplasia?,
Withdrawn FDA approval - Gavreto (pralsetinib),
Cancer-associated thrombosis: Anticoagulants compared,
Xdemvy approved for treatment of Demodex blepharitis,
"What's this pill? | July 27, 2023",
Advancements in automated insulin pumps: Tandem Diabetes Care’s Mobi,
Podcast Recap | Hematuria with Dr. Derek Fine,
Novel thrombolytic noninferior to alteplase in acute ischemic stroke,
Patient-controlled epidural anesthesia—Start early for faster post-op pain relief,
First treatment for molluscum contagiosum wins FDA approval,
CDC releases guidance on use of RSV vaccines in older adults,
Women treated for breast cancer may age faster than cancer-free women,
What's the prevalence of arthritis among children and adolescents?,
Diagnostic error: Which diseases account for the greatest burden of harms?,
Zebra of the Week: Hereditary angioedema (HAE),
Cervical pessary no better than usual care for preterm birth prevention,
Finger prick test shows promise in detecting Alzheimer disease,
What are older adults’ medical preferences for the end of life?,
New indication - Talzenna (talazoparib),
Charcoal production and use linked to respiratory and nonrespiratory diseases,
White House opens permanent pandemic preparedness office,
"Tornado damage to Pfizer plant not likely to lead to major drug shortages, FDA says",
Daily statin reduces heart disease risk among adults living with HIV,
"More than 300,000 CUPKIN children’s cups recalled due to high lead levels",
FDA Class I Recall: Megadyne recalls MEGA 2000 and MEGA SOFT products,
CDC: Soft tick relapsing fever in the U.S. from 2012 to 2021,
Gastric bypass surgery linked to risk for substance use disorders,
Omega-3 fatty acids show promise for maintaining lung health,
FDA grants approval to adjuvanted anthrax vaccine,
To reduce antibiotic use for asymptomatic bacteriuria—Avoid unnecessary urine cultures,
Outbreak of Shiga toxin–producing E. coli linked to farming camp,
Expanded indication - Nucynta (tapentadol),
Nine out of 10 herbal sports supplements not accurately labeled,
FDA approves quizartinib for newly diagnosed acute myeloid leukemia,
Maternal vaccine elicits antibodies against invasive group B strep in infants,
MIND diet for brain health shows unexpected results in new clinical trial,
Is there a genetic basis for COVID-19 'super dodgers'?,
Tornado damage to North Carolina Pfizer plant raises concerns about more drug shortages,
Study examines incidence and prevalence of vitiligo in U.S.,
New brand drug - Adstiladrin (nadofaragene firadenovec),
Low-dose atropine fails to slow myopia progression in children,
Does vitamin D3 supplementation reduce afib risk in healthy individuals?,
Picture quiz: An ill-appearing man with recurring target lesions,
Expanded indication - Leqvio (inclisiran),
USPSTF: Evidence lacking for lipid screening in younger patients,
FDA migraine medication approvals: Trials have had inconsistent endpoints,
"What your patients are reading: Week of July 17, 2023",
Testosterone therapy linked to increased CVD risks in cisgender women,
epocrates decision tools - H. pylori Tx in Adults & Children - Update,
New brand drugs - Humira (adalimumab) biosimilars now available,
In which U.S. regions is Alzheimer's most prevalent?,
FDA Class I Recall: Stop using the Quidel Triage Cardiac Panel,
FDA greenlights new device to treat BPH,
"What's this pill? | July 20, 2023",
Advancements in feeding tube placement: NGPOD®,
Podcast Recap | Guidelines review: Management of severe traumatic brain injury,
Does a gun safety video affect children's behavior around guns?,
Dual antiplatelet therapy noninferior to alteplase in minor stroke,
New brand drug - Hadlima (adalimumab),
Vaginal estrogen may help prevent UTI in women with estrogen deficiency,
Historical redlining linked to worse CV outcomes among U.S. veterans,
"FDA: Don't use RoyalVibe Health, CellQuicken, or Well-Being Reality ultrasound medical devices",
Can you ace this airline medical emergencies quiz?,
Zebra of the Week: Synovial sarcoma,
Donanemab slows Alzheimer's progression in phase 3 trial,
Screen-and-treat for bacterial vaginosis: Does it prevent preterm births?,
Cognitively stimulating activities linked to lower dementia risk in later life,
"COCA Call: Thurs., July 20 - Review of malaria diagnosis and treatment in the U.S.",
New brand drug - Columvi (glofitamab),
"CDC: Cannabis-related ED visits increased in young adults, children during pandemic",
Remdesivir cleared for use in patients with severe renal impairment,
P2Y12 inhibitors superior to aspirin for secondary prevention in CAD,
AI helps accurately triage respiratory symptoms in primary care,
FDA approves new monoclonal antibody to prevent RSV in babies and toddlers,
New brand drug - Rystiggo (rozanolixizumab),
Do immunomodulators shorten COVID-19 pneumonia recovery time?,
Arizona EDs treat more heatstroke as temperatures hit record highs,
PPI use may shorten survival for some NSCLC patients on ICI therapy,
WHO expert agencies consider aspartame a 'possible' carcinogen,
Carpal tunnel syndrome linked to subsequent heart failure,
How football raises the risk for chronic traumatic encephalopathy,
ED visits for teenage girls spiked during pandemic,
How does maternal egg consumption after birth impact infant egg allergy risk?,
"NOxBOXi Nitric Oxide System recalled due to risk of gas leaks, therapy interruption",
Drug-Drug Interaction Quiz: Severe pancytopenia caused by drug interaction,
New oral cancer survival calculator highlights importance of coexisting conditions,
Time-restricted eating works as well as calorie counting for weight loss in patients with obesity,
Campaign aims to create world's largest library of diverse medical images,
CDC urges 'one-and-done' office visit for hep C testing,
"Hairdressing, construction among professions linked to ovarian cancer risk",
WHO: Ongoing avian influenza outbreaks in animals pose risk to humans,
"Lisa Marie Presley died from bowel obstruction, medical officials say",
Picture Quiz: A mottled belly,
Update: Paclitaxel-coated devices for PAD,
Meta-analysis weighs clinical outcomes of obesity drugs,
Kindergartener vaccination coverage lowest in last decade,
"What your patients are reading: Week of July 10, 2023",
New brand drug - Vyvgart Hytrulo (efgartigimod alfa/hyaluronidase),
USDA: Transmission of SARS-CoV-2 in free-ranging white-tailed deer in the U.S.,
New/Expanded indications - Abrilada (adalimumab),
FDA approves first OTC daily oral contraceptive,
Podcast Recap | Intention to Treat: Unleashing CRISPR on Cancer,
EPA proposes stricter limits on lead exposure in homes and child care facilities,
Study compares aortic aneurysm/dissection risk among fluoroquinolone and macrolide users,
Screening newborns for deadly immune disorder saves lives,
New brand drug - Vyjuvek (beremagene geperpavec topical),
Novel risk score may predict new-onset afib,
New brand drug - Miebo (perfluorohexyloctane ophthalmic),
Mask reuse has minimal impact on upper respiratory microbiome,
Can you identify the symptoms of primary amebic meningoencephalitis (PAM)?,
Liquid biopsy shows promise in identifying HPV-associated oropharyngeal cancer,
Zebra of the Week: Vestibular schwannoma,
More Americans living alone than ever before,
Is long-acting ART effective in patients with HIV viremia?,
New brand drug - Elfabrio (pegunigalsidase alfa),
Patients on rituximab at risk for severe disease from mosquito- and tickborne viruses,
New brand drug - Hyrimoz (adalimumab),
"Investigational three-month TB regimen is safe but ineffective, NIH study finds",
Investigational antiviral shows promise as hepatitis D treatment,
Pain relief in the ED: Acetaminophen vs. IV/IM NSAIDs or opioids,
Severe dengue rare among returning travelers,
340B Program Helps Diabetes Patient Make Ends Meet,
“Best Dental Care” for the Boyle Family,
Community resources ease health concerns for Yankton patient,
Why Should You Get The Flu Shot?,
Tips to Staying Well This Winter,
Diabetes Often Goes Undiagnosed,
"With School Started, It’s Time to Schedule Your Primary Care Visit",
Horizon telemedicine connects Burmese man with life-saving treatment,
Stress and Self-Care,
Horizon Clinic helps Myanmar family find treatment for 5-year-old son,
Creating a Heart Healthy Lifestyle,
Lexy Eggert Named Chief Development & Strategy Officer,
Common Health Questions,
Boost Mental Health In Your Life,
Health-Related Resolutions for the New Year,
Stay Healthy During the Flu Season,
5 Tips for Healthy Eating During the Holidays,
Changing kids’ lives – one book at a time,
Horizon Health Care breaks ground on new Lake Preston clinic,
Melissa Hofer Named Chief Financial Officer,
Horizon Health Care Names Wade Erickson as CEO,
Horizon Colorectal Screening Partnership for 2021,
"Horizon Health Care Announces Len Wonnenberg, PA-C, as 2020 Provider of the Year",
Horizon Health Care Announces Jessica Weber as 2020 Employee of the Year,
"Cindy Foss, RDH, Joins De Smet Dental Services",
"Kylie Beckman, RDH, Joins Prairie Winds Dental",
Horizon Health Care CEO Earns Regional Award,
"Teresa Marts, MD, and Alyssa Hicks, CNP, Join Mission Community Health Center",
Diabetes is Never Just You,
Horizon Health Care Announces Kendra Newbold as Chief Operations Officer,
"Jocelyn Bergh, PA-C, MPAS, Joins Martin Community Health Center",
"Mark Cali, MPAS, PA-C, Joins Martin Community Health Center",
"Curtis Collins, DDS, Joins Jerauld County Dental Clinic",
Horizon Health Care Announces Nurse Manager,
"Geoffrey Whitney, DMD, Joins Horizon Health Care",
"Katlyn Rostyne, CNP, Joins Woonsocket Community Health Center",
"Amanda Thoms, CNP, Joins Yankton Community Health Center and Dental Services",
"Kimberli Hastings, CNP, Joins Fort Thompson Community Health Center",
"Alexandra Bachman-Williams, PA-C, Joins Horizon Health Care",
"Cindy Foss, RDH, Joins Prairie Winds Dental",
"Horizon Health Care Announces Move to New Location in Yankton, Plans Care Options During Transition",
Northwestern Energy Gift to Horizon Health Foundation Sparks Hope During the Coronavirus Crisis,
Horizon Health Care Dental Clinics Initiate Phased Reopening,
Behavioral Health with TeleHome During Mental Health Awareness Month,
"Terry Weaver, MD, Joins Jerauld County Community Health Center",
"Horizon Health Care Continues, Expands Appointment Options During COVID-19 Pandemic",
Generous Donation from Dr. Tom and Kathy Dean Will Keep Rural Medicine Alive and Thriving,
How to Help During COVID-19 Pandemic,
New Clinic Safety Precautions & Restrictions Regarding COVID-19,
A Journey to Wellness for Say Wah,
Colorectal Screening Partnership,
A Journey to Wellness for Dave Hodges,
Our Telemedicine Services Receive Funding from SD Telecommunication Companies and USDA Grant,
Dental Health Care for Rural Communities in South Dakota,
"Haley Brunke, PA-C, Joins Mission Community Health Center",
Patient Miracles and What it Means to Have Health Care Close to Home,
De Smet Dental Services Welcomes Outreach Students,
Prairie Winds Dental Welcomes Outreach Students,
Jerauld County Dental Clinic Welcomes Outreach Students,
"Cassandra Aesoph, CNP, Joins Aberdeen Community Health Center",
"Danny Wolfgram, MD, Joins Aberdeen Community Health Center",
Horizon Health Care Recognized as Health Center Quality Leader,
Prairie Winds Dental Welcomes Outreach Students,
Jerauld County Dental Clinic Welcomes Outreach Student,
"Darcie Schmidt, CNP, FNP-BC, Joins Jerauld County Community Health Center",
"Madeline Pfeiffer, DDS, Joins Prairie Winds Dental",
Prairie Winds Dental Clinic Welcomes Outreach Students,
The Importance of Vaccines and Your Health,
"Marissa Schelske, RDH, Joins Horizon Health Care, Inc.",
"Diane Inch, PA-C, Joins Martin Community Health Center",
Lyle’s Story,
"Ryan Rowe, CNP, Joins Mission Community Health Center",
"Catherine Friesen, CNP, Joins Aberdeen Community Health Center",
"Theresa Hammerquist, CNP, Joins Martin Community Health Center",
Horizon Health Beat: Bug Bites,
Prairie Winds Dental Clinic Welcomes Outreach Student,
March is Colorectal Cancer Awareness Month,
"Barbara De Witt, CNP, Joins Yankton Community Health Center and Dental Services",
Horizon Health Care to Provide Free Dental Exams to Children in February 2018,
"Horizon Health Care Employee Giving Campaign raises over $41,000",
"Tia Chase, PA-C, Joins Jerauld County Community Health Center",
"Margaret Lee, PA-C, Joins Martin Community Health Center",
Horizon Receives Grant to Improve Rates of Cancer Screening,
"Randall Law, PA-C, Joins Aberdeen Community Health Center",
"Courtney Carmichael, PA-C, Joins Martin Community Health Center",
"Melissa Davis, CNP, Named 2017 Horizon Provider of the Year",
Prairie Winds Dental Welcomes Outreach Students,
Jerauld County Dental Clinic Welcomes Outreach Students,
"Horizon Health Care, Inc. Recognized as Health Center Quality Leader",
"Dr. Hilary Haley, DDS, Joins Horizon Health Care, Inc.",
Prairie Winds Dental Clinic Welcomes Outreach Students,
"Melissa Nehl, CNP, DNP, APRN, Joins Horizon Health Care, Inc.",
"Michael Peña, MD, Joins Horizon Health Care, Inc.",
"Jennalee Olsen, CNP, Joins Aurora County Community Health Center",
"Leah Bennett, PA-C, Joins Aberdeen Community Health Center",
"Jamie Kern Kohler, DDS, Joins Prairie Winds Dental",
"Ashley Edelburg, DMD, Joins Martin Dental Clinic",
"Bryce Wilen, DDS, Joins Faith Dental Clinic",
"Jennifer Franke, CNP, Joins Martin Community Health Center",
"Horizon Health Care, Inc. and allPOINTS Health Services Merger Final",
"Horizon Health Care, Inc. and allPOINTS Health Services Merger on track for June 1, 2017",
Horizon Health Care Employees Honored for Contributions to First Employee Giving Campaign,
"HOPE $20,000 Match Challenge Raises Nearly $13,000 for South Dakota Patients",
"Autumn Tucker, CNP, Joins Mission Community Health Center",
Howard Farmers Co-op Invests in Colorectal Cancer Prevention for Rural South Dakotans,
"Kristin VanBuskirk, CNP, Joins James Valley Community Health Center",
"Tony Berg, MD, Joins Southwest Region Clinics",
"Horizon Health Foundation Announces HOPE $20,000 Match Challenge to Support South Dakota Patients",
"Horizon Health Care, Inc. and allPOINTS Health Services to Merge",
John Mengenhausen Named Recipient of 2016 CHAMPS Presidential Award,
Howard Community Health Center to Collect Outer Wear for Children,
Richard “Dick” Bair Named Recipient of Exceptional Board Leadership Award,
"Misty Rudebusch, PA-C, and Avera Medical Team to Join Howard Community Health Center",
"Dannica Callies, DNP, NP Named Horizon Health Care Provider of the Year",
Fort Thompson Community Health Center Celebrates One Year Anniversary,
Construction in Progress for Horizon Health Care’s New Faith Dental Clinic,
"Karley Fischer, PA-C Joins De Smet Community Health Center",
"Horizon Health Care, Inc. Receives Nearly $60,000 for Quality Improvement Efforts",
"Donna Linke, CNP, MSN, Joins Horizon Health Care, Inc.",
Horizon Receives Grant to Improve Rates of Breast and Cervical Cancer Screening in Target Communities,
"Brady Weispfennig, DDS Joins De Smet Dental Clinic",
June is National Men’s Health Month,
"Horizon Health Care, Inc. to Expand Oral Health Services in Faith, SD",
"Francoise Bansenga, FNP-BC, Joins Martin Community Health Center",
Aurora County Dental Clinic to Open in August; Now Accepting Appointments,
